"FREEDOMPOP MEXICO, S.A. DE C.V.",FREEDOMPOP,FREEDOM,,"COMCAB, S.A. DE C.V.",COMCAB,COMCAB,,,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO,JESUS MIGUEL FERNANDEZ GUERRERO
"DIRI TELECOMUNICACIONES, S.A. DE C.V.",DIRI MOVIL,DIRI MOVIL,,"GURUCOMM, S.A.P.I. DE C.V.",GURUCOMM,GURUCOMM,,,"TELESISTEMAS Y REDES MEXIQUENSES, S.A. DE C.V.",ESPID,ESPID
"SIHI MEXICO, S. DE R.L. DE C.V.",SIHI MEXICO,SIHI MEXICO,,"CABLEPLAY TELECOMUNICACIONES, S.A. DE C.V.",CABLEPLAY,CABLEPLAY,,,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA,MANUEL LOPEZ AVILA
"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.",FLASH MOBILE,FLASH MOBILE,,"CELMEX INNOVA, S.A.P.I. DE C.V.",SIMPATI,SIMPATI,,,"CONVERGENCIA Y DESARROLLO DIGITAL, S.A. DE C.V.",RED DOG,RED DOG
"INTEGRACION DE SERVICIOS Y TECNOLOGIA, S.A. DE C.V.",IST,IST,,"MUCHOS MEGAS, S.A. DE C.V.",MUCHOS MEGAS,MUCHOS MEGAS,,,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA,GUILLERMO ZARATE GARCIA
"HIPERCABLE DE MONCLOVA, S.A. DE C.V.",HIPERCABLE DE MONCLOVA,HIPERCABLE DE MONCLOVA,,"LOGICA INDUSTRIAL, S.A. DE C.V.",LOGITEL,LOGITEL,,,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA,JOSE JULIAN SACRAMENTO GARZA
"LANTOINTERNET, S.A. DE C.V.",QUATTROCOM,QUATTROCOM,,"CABLEREGION, S.A. DE C.V.",OTROS,OTROS,,,OBDULIA NAVA BECERRIL,CABLEVISION DE LA HUACANA,CABLEVISION DE LA HUACANA
"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",IVEEP INTERNET SATELITAL,ELARA COMUNICACIONES,,"TV OJO CALIENTE, S.A. DE C.V.",TV OJO CALIENTE,TV OJO CALIENTE,,,"CRO.NET, S.A. DE C.V.",CRO.NET,CRO.NET
"AXESS NET.SOLUTIONS MEXICO, S.A. DE C.V.",AXESAT,HISPASAT,,FRANCISCO GUERRA GARCIA,FRANCISCO GUERRA GARCIA,FRANCISCO GUERRA GARCIA,,,"CONSORCIO DE RADIODIFUSORAS DE MEXICO, S.A. DE C.V.",TV-K,TV-K
"TELECABLE DE MERIDA, S.A. DE C.V.",TELECABLE MERIDA,TELECABLE MERIDA,,"TELECABLE DE COAHUAYANA, S.A. DE C.V.",TELECABLE DE COAHUAYANA,TELECABLE DE COAHUAYANA,,,"KUBO CEL, S.A.P.I. DE C.V.",QBO CEL,QBO CEL
ROBERTO ANTONIO MALDONADO GUTIERREZ,RAVS CABLE,RAVS CABLE,,"TELECABLE DE CUERNAVACA, S.A. DE C.V.",TELECABLE DE CUERNAVACA,TELECABLE DE CUERNAVACA,,,JOSÉ ASCENCIÓN GODÍNEZ RAMÍREZ,TELECABLE DE MARIANO ESCOBEDO Y SAN AGUSTIN DEL PULQUE,TELECABLE DE MARIANO ESCOBEDO
"TELESISTEMAS PENINSULARES, S.A. DE C.V.",TELESISTEMAS PENINSULARES,TELESISTEMAS PENINSULARES,,"IBO CELL, S.A.P.I. DE C.V.",BUENO CELL,BUENO CELL,,,ISALIA MORENO ZETINA,ISALIA MORENO ZETINA,ISALIA MORENO ZETINA
"VASANTA COMUNICACIONES, S.A.P.I. DE C.V.",VASANTA,VASANTA,,"SISTV.TELECOMUNICACIONES, S.A. DE C.V.",SISTV,SISTV,,,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ,JAIME SANCHEZ SANCHEZ
"SIERRA MADRE INTERNET, S.A. DE C.V.",SIERRA MADRE,SIERRA MADRE TELECOM,,"OPERADORA BAPA, S.A. DE C.V.",TVDIG,TVDIG,,,"CABLE SISTEMA DEL CENTRO, S.A. DE C.V.",CABLE SISTEMA DEL CENTRO,CABLE SISTEMA DEL CENTRO
"CELMAX MOVIL, S.A. DE C.V.",YOBI TELECOM,YOBI TELECOM,,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",ADDINTELI,ADDINTELI,,,"SOLUCIONES Y ASESORIA EN COBRANZA, S. DE R.L. DE C.V.",IGOU TELECOM,IGOU TELECOM
"COORDINADORA DE TV POR CABLE, S.A. DE C.V.",COORDINADORA DE TV POR CABLE,COORDINADORA DE TV POR CABLE,,"TELECABLE DE TEKAX, S.A. DE C.V.",TELECABLE DE TEKAX,TELECABLE DE TEKAX,,,"GRUPO CORPORATIVO ZUNUN PAZ, S. A. DE C.V.",GRUPO CORPORATIVO ZUNUN PAZ,GRUPO CORPORATIVO ZUNUN PAZ
"RBA CATV, S.A. DE C.V.",RBACATV,RBACATV,,"HERMOVISION, S. DE R.L. DE C.V.",HERMOVISION,HERMOVISION,,,"TELMOV MOVIL, S.A. DE C.V.",TELMOVIL,TELMOVIL
"TELECABLE DE CAMPECHE, S.A. DE C.V.",TELECABLE DE CAMPECHE,TELECABLE DE CAMPECHE,,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",EYCO DE LOS ALTOS,EYCO DE LOS ALTOS,,,"BROCOMUNICACIONES MOVILES, S.A.P.I. DE C.V.",BROMOVIL,BROMOVIL
"COMRELOADED, S.A.P.I. DE C.V.",WEEX,WEEX,,NATALIA CHAREEVA,NET LINK,NET LINK,,,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ,EDUARDO PEDRERO PEREZ
,,,,,,,,,"COMNET, S.A. DE C.V.",COMNET,COMNET
