FOLIO,CONCESIONARIO,K_EMPRESA,EMPRESA,K_ENTIDAD,FECHA,L_TOTAL_E,ANIO,MES,K_GRUPO,GRUPO,ENTIDAD
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,11,15DEC2021,163048,2021,12,C584,TOTALPLAY,Guanajuato
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,12,15DEC2021,9962,2021,12,C584,TOTALPLAY,Guerrero
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,13,15DEC2021,64283,2021,12,C584,TOTALPLAY,Hidalgo
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,14,15DEC2021,405424,2021,12,C584,TOTALPLAY,Jalisco
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,15,15DEC2021,756248,2021,12,C584,TOTALPLAY,Mexico.
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,16,15DEC2021,30355,2021,12,C584,TOTALPLAY,Michoacan de Ocampo
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,17,15DEC2021,61753,2021,12,C584,TOTALPLAY,Morelos
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,18,15DEC2021,3513,2021,12,C584,TOTALPLAY,Nayarit
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,19,15DEC2021,274997,2021,12,C584,TOTALPLAY,Nuevo Leon
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,20,15DEC2021,431,2021,12,C584,TOTALPLAY,Oaxaca
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,21,15DEC2021,157349,2021,12,C584,TOTALPLAY,Puebla
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,22,15DEC2021,45610,2021,12,C584,TOTALPLAY,Queretaro
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,23,15DEC2021,55813,2021,12,C584,TOTALPLAY,Quintana Roo
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,24,15DEC2021,129996,2021,12,C584,TOTALPLAY,San Luis Potosi
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,25,15DEC2021,62586,2021,12,C584,TOTALPLAY,Sinaloa
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,26,15DEC2021,39601,2021,12,C584,TOTALPLAY,Sonora
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,27,15DEC2021,17736,2021,12,C584,TOTALPLAY,Tabasco
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,28,15DEC2021,1986,2021,12,C584,TOTALPLAY,Tamaulipas
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,29,15DEC2021,51,2021,12,C584,TOTALPLAY,Tlaxcala
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,30,15DEC2021,175731,2021,12,C584,TOTALPLAY,Veracruz de Ignacio de la Llave
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,31,15DEC2021,53651,2021,12,C584,TOTALPLAY,Yucatan
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,32,15DEC2021,48,2021,12,C584,TOTALPLAY,Zacatecas
100467,"TOTAL PLAY TELECOMUNICACIONES, S.A. DE C.V.",C0584,TOTALPLAY,99,15DEC2021,6716,2021,12,C584,TOTALPLAY,Sin información de Entidad
100539,"TELEFONOS DEL NOROESTE, S.A. DE C.V.",C0578,TELNOR,99,15DEC2021,422046,2021,12,G006,AMÉRICA MÓVIL,Sin información de Entidad
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,1,15DEC2021,0,2021,12,G004,GRUPO TELEVISA,Aguascalientes
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,2,15DEC2021,344368,2021,12,G004,GRUPO TELEVISA,Baja California
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,4,15DEC2021,29100,2021,12,G004,GRUPO TELEVISA,Campeche
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,8,15DEC2021,211087,2021,12,G004,GRUPO TELEVISA,Chihuahua
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,11,15DEC2021,62,2021,12,G004,GRUPO TELEVISA,Guanajuato
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,12,15DEC2021,86891,2021,12,G004,GRUPO TELEVISA,Guerrero
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,13,15DEC2021,14081,2021,12,G004,GRUPO TELEVISA,Hidalgo
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,14,15DEC2021,22741,2021,12,G004,GRUPO TELEVISA,Jalisco
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,15,15DEC2021,407437,2021,12,G004,GRUPO TELEVISA,Mexico.
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,17,15DEC2021,127509,2021,12,G004,GRUPO TELEVISA,Morelos
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,20,15DEC2021,74846,2021,12,G004,GRUPO TELEVISA,Oaxaca
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,21,15DEC2021,7061,2021,12,G004,GRUPO TELEVISA,Puebla
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,23,15DEC2021,118507,2021,12,G004,GRUPO TELEVISA,Quintana Roo
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,24,15DEC2021,18189,2021,12,G004,GRUPO TELEVISA,San Luis Potosi
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,28,15DEC2021,10113,2021,12,G004,GRUPO TELEVISA,Tamaulipas
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,29,15DEC2021,1891,2021,12,G004,GRUPO TELEVISA,Tlaxcala
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,30,15DEC2021,97639,2021,12,G004,GRUPO TELEVISA,Veracruz de Ignacio de la Llave
100590,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,31,15DEC2021,120117,2021,12,G004,GRUPO TELEVISA,Yucatan
100622,"IP MATRIX, S.A. DE C.V.",C0259,TRANSTELCO,99,15DEC2021,,2021,12,C259,TRANSTELCO,Sin información de Entidad
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,1,15DEC2021,17241,2021,12,G004,GRUPO TELEVISA,Aguascalientes
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,2,15DEC2021,15822,2021,12,G004,GRUPO TELEVISA,Baja California
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,3,15DEC2021,245,2021,12,G004,GRUPO TELEVISA,Baja California Sur
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,4,15DEC2021,2281,2021,12,G004,GRUPO TELEVISA,Campeche
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,5,15DEC2021,27323,2021,12,G004,GRUPO TELEVISA,Coahuila de Zaragoza
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,6,15DEC2021,1189,2021,12,G004,GRUPO TELEVISA,Colima
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,7,15DEC2021,575,2021,12,G004,GRUPO TELEVISA,Chiapas
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,8,15DEC2021,7731,2021,12,G004,GRUPO TELEVISA,Chihuahua
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,9,15DEC2021,759232,2021,12,G004,GRUPO TELEVISA,Ciudad de Mexico
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,10,15DEC2021,16070,2021,12,G004,GRUPO TELEVISA,Durango
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,11,15DEC2021,20520,2021,12,G004,GRUPO TELEVISA,Guanajuato
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,12,15DEC2021,1889,2021,12,G004,GRUPO TELEVISA,Guerrero
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,13,15DEC2021,4749,2021,12,G004,GRUPO TELEVISA,Hidalgo
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,14,15DEC2021,121520,2021,12,G004,GRUPO TELEVISA,Jalisco
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,15,15DEC2021,8726,2021,12,G004,GRUPO TELEVISA,Mexico.
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,16,15DEC2021,7489,2021,12,G004,GRUPO TELEVISA,Michoacan de Ocampo
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,17,15DEC2021,17414,2021,12,G004,GRUPO TELEVISA,Morelos
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,18,15DEC2021,11277,2021,12,G004,GRUPO TELEVISA,Nayarit
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,19,15DEC2021,250292,2021,12,G004,GRUPO TELEVISA,Nuevo Leon
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,20,15DEC2021,2599,2021,12,G004,GRUPO TELEVISA,Oaxaca
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,21,15DEC2021,14533,2021,12,G004,GRUPO TELEVISA,Puebla
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,22,15DEC2021,34923,2021,12,G004,GRUPO TELEVISA,Queretaro
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,23,15DEC2021,21026,2021,12,G004,GRUPO TELEVISA,Quintana Roo
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,24,15DEC2021,12942,2021,12,G004,GRUPO TELEVISA,San Luis Potosi
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,25,15DEC2021,42010,2021,12,G004,GRUPO TELEVISA,Sinaloa
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,26,15DEC2021,3244,2021,12,G004,GRUPO TELEVISA,Sonora
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,27,15DEC2021,1611,2021,12,G004,GRUPO TELEVISA,Tabasco
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,28,15DEC2021,25452,2021,12,G004,GRUPO TELEVISA,Tamaulipas
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,29,15DEC2021,4587,2021,12,G004,GRUPO TELEVISA,Tlaxcala
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,30,15DEC2021,4513,2021,12,G004,GRUPO TELEVISA,Veracruz de Ignacio de la Llave
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,31,15DEC2021,6704,2021,12,G004,GRUPO TELEVISA,Yucatan
100647,"OPERBES, S.A. DE C.V.",C0415,BESTEL,32,15DEC2021,6063,2021,12,G004,GRUPO TELEVISA,Zacatecas
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,1,15DEC2021,71057,2021,12,G004,GRUPO TELEVISA,Aguascalientes
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,6,15DEC2021,16876,2021,12,G004,GRUPO TELEVISA,Colima
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,7,15DEC2021,17908,2021,12,G004,GRUPO TELEVISA,Chiapas
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,11,15DEC2021,34652,2021,12,G004,GRUPO TELEVISA,Guanajuato
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,14,15DEC2021,171967,2021,12,G004,GRUPO TELEVISA,Jalisco
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,16,15DEC2021,3479,2021,12,G004,GRUPO TELEVISA,Michoacan de Ocampo
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,18,15DEC2021,9384,2021,12,G004,GRUPO TELEVISA,Nayarit
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,22,15DEC2021,11671,2021,12,G004,GRUPO TELEVISA,Queretaro
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,28,15DEC2021,122616,2021,12,G004,GRUPO TELEVISA,Tamaulipas
100656,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,32,15DEC2021,0,2021,12,G004,GRUPO TELEVISA,Zacatecas
100666,"MARCATEL COM, S.A. DE C.V.",C0350,MARCATEL,99,15DEC2021,62406,2021,12,C350,MARCATEL,Sin información de Entidad
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,4,15DEC2021,23021,2021,12,G004,GRUPO TELEVISA,Campeche
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,5,15DEC2021,92800,2021,12,G004,GRUPO TELEVISA,Coahuila de Zaragoza
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,10,15DEC2021,7159,2021,12,G004,GRUPO TELEVISA,Durango
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,11,15DEC2021,19653,2021,12,G004,GRUPO TELEVISA,Guanajuato
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,13,15DEC2021,55150,2021,12,G004,GRUPO TELEVISA,Hidalgo
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,14,15DEC2021,440,2021,12,G004,GRUPO TELEVISA,Jalisco
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,15,15DEC2021,5416,2021,12,G004,GRUPO TELEVISA,Mexico.
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,16,15DEC2021,0,2021,12,G004,GRUPO TELEVISA,Michoacan de Ocampo
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,21,15DEC2021,1,2021,12,G004,GRUPO TELEVISA,Puebla
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,22,15DEC2021,111007,2021,12,G004,GRUPO TELEVISA,Queretaro
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,24,15DEC2021,61784,2021,12,G004,GRUPO TELEVISA,San Luis Potosi
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,25,15DEC2021,215,2021,12,G004,GRUPO TELEVISA,Sinaloa
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,27,15DEC2021,52004,2021,12,G004,GRUPO TELEVISA,Tabasco
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,28,15DEC2021,37809,2021,12,G004,GRUPO TELEVISA,Tamaulipas
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,29,15DEC2021,45680,2021,12,G004,GRUPO TELEVISA,Tlaxcala
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,30,15DEC2021,20739,2021,12,G004,GRUPO TELEVISA,Veracruz de Ignacio de la Llave
100669,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,32,15DEC2021,26848,2021,12,G004,GRUPO TELEVISA,Zacatecas
100692,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,5,15DEC2021,28472,2021,12,G004,GRUPO TELEVISA,Coahuila de Zaragoza
100692,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,19,15DEC2021,654622,2021,12,G004,GRUPO TELEVISA,Nuevo Leon
100692,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,24,15DEC2021,9439,2021,12,G004,GRUPO TELEVISA,San Luis Potosi
100692,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,28,15DEC2021,115089,2021,12,G004,GRUPO TELEVISA,Tamaulipas
100715,"MYC RED, S.A. DE C.V.",C0378,MEGACABLE,99,15DEC2021,,2021,12,G008,MEGACABLE-MCM,Sin información de Entidad
100747,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C0149,DISH,99,15DEC2021,816,2021,12,G002,DISH-MVS,Sin información de Entidad
100770,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C0508,SKY,99,15DEC2021,617,2021,12,G004,GRUPO TELEVISA,Sin información de Entidad
100809,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,1,15DEC2021,110,2021,12,G008,MEGACABLE-MCM,Aguascalientes
