FOLIO,ANIO,TRIM,FECHA,CONCESIONARIO,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,I_FIJO_MOVIL,INGRESOS_TOTAL_E
100590,2021,4,15DEC2021,"CABLEMAS TELECOMUNICACIONES, S.A. DE C.V.",C0784,IZZI,G004,GRUPO TELEVISA,Fijo,3390914172.34
100596,2021,4,15DEC2021,"GRUPO DE TELECOMUNICACIONES DE ALTA CAPACIDAD, S.A.P.I. DE C.V.",C0047,GTAC REDES DE FIBRA OPTICA,C047,GTAC REDES DE FIBRA OPTICA,Fijo,282197600.00
100625,2021,4,15DEC2021,"RADIOMOVIL DIPSA, S.A. DE C.V.",C0517,TELCEL,G006,AMERICA MOVIL,Móvil,55908413293.00
100628,2021,4,15DEC2021,"TELECABLE DE TICUL, S.A. DE C.V.",C0542,TELECABLE DE TICUL,C542,TELECABLE DE TICUL,Fijo,3899128.11
100647,2021,4,15DEC2021,"OPERBES, S.A. DE C.V.",C0415,BESTEL,G004,GRUPO TELEVISA,Fijo,1101878143.41
100649,2021,4,15DEC2021,"SATELITES MEXICANOS, S.A. DE C.V.",C0638,EUTELSAT AMERICAS,C638,EUTELSAT AMERICAS,Satelital,132514054.02
100656,2021,4,15DEC2021,"CABLEVISION RED, S.A. DE C.V.",C0639,CABLEVISION RED,G004,GRUPO TELEVISA,Fijo,1007575539.30
100666,2021,4,15DEC2021,"MARCATEL COM, S.A. DE C.V.",C0350,MARCATEL,C350,MARCATEL,Fijo,199665310.55
100669,2021,4,15DEC2021,"TV CABLE DE ORIENTE, S.A. DE C.V.",C0784,IZZI,G004,GRUPO TELEVISA,Fijo,1019058958.72
100676,2021,4,15DEC2021,"TELESISTEMAS DIGITALES DE MEXICO, S.A. DE C.V.",C0476,LINK TE CONECTAMOS,C476,LINK TE CONECTAMOS,Fijo,6302328.92
100678,2021,4,15DEC2021,"HISPASAT MEXICO, S.A. DE C.V.",C0636,HISPASAT,C636,HISPASAT,Satelital,30118811.14
100689,2021,4,15DEC2021,"ELARA COMUNICACIONES, S.A.P.I. DE C.V.",C0165,IVEEP INTERNET SATELITAL,C165,ELARA COMUNICACIONES,Fijo,65733283.60
100692,2021,4,15DEC2021,"TELEVISION INTERNACIONAL, S.A. DE C.V.",C0571,TELEVISION INTERNACIONAL,G004,GRUPO TELEVISA,Fijo,1665652301.45
100734,2021,4,15DEC2021,"CABLEVISION DE APATZINGAN, S.A. DE C.V.",C0650,CABLEVISION DE APATZINGAN,C650,CABLEVISION DE APATZINGAN,Fijo,5460976.18
100747,2021,4,15DEC2021,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C0149,DISH,G002,DISH-MVS,Fijo,1211104115.00
100759,2021,4,15DEC2021,"MAXICABLE DE MEXICO, S.A. DE C.V.",C0374,MAXICABLE,C374,MAXICABLE,Fijo,3202152.61
100767,2021,4,15DEC2021,"TELECABLE DE COENEO, S.A. DE C.V.",C0378,MEGACABLE,G008,MEGACABLE-MCM,Fijo,3304546.51
100770,2021,4,15DEC2021,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C0508,SKY,G004,GRUPO TELEVISA,Fijo,6830439817.00
100809,2021,4,15DEC2021,"MEGACABLE COMUNICACIONES DE MEXICO, S.A. DE C.V.",C0377,MCM TELECOM,G008,MEGACABLE-MCM,Fijo,280573504.98
100818,2021,4,15DEC2021,"BT LATAM MEXICO, S.A. DE C.V.",C0065,BT LATAM MEXICO,C065,BT LATAM MEXICO,Fijo,5439114.00
100857,2021,4,15DEC2021,"TELESISTEMAS POTOSINOS, S.A. DE C.V.",C0565,LINK TE CONECTAMOS,C476,LINK TE CONECTAMOS,Fijo,3950049.98
100860,2021,4,15DEC2021,"TELECABLE DE COAHUAYANA, S.A. DE C.V.",C0528,TELECABLE DE COAHUAYANA,C528,TELECABLE DE COAHUAYANA,Fijo,2248577.24
100865,2021,4,15DEC2021,"CABLEVISION, S.A. DE C.V.",C0268,CABLEVISION,G004,GRUPO TELEVISA,Fijo,2643582848.00
101346,2021,4,15DEC2021,"PEGASO PCS, S.A. DE C.V.",C0422,MOVISTAR,G003,TELEFONICA,Fijo y Móvil,6655353071.90
101784,2021,4,15DEC2021,"MEXICO RED DE TELECOMUNICACIONES, S. DE R.L. DE C.V.",C0087,CABLECOM,G004,GRUPO TELEVISA,Fijo,544621112.57
