FOLIO,ANIO,MES,FECHA,K_GRUPO,GRUPO,CONCESIONARIO,K_EMPRESA,EMPRESA,ENTIDAD,TECNO_ACCESO_TV,A_TOTAL_E
100734,2021,12,44545,C650,CABLEVISION DE APATZINGA,"CABLEVISION DE APATZINGAN, S.A. DE C.V.",C065,CABLEVISION DE APATZINGA,Sin información de Entidad,Sin información de tecnología,6849
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Aguascalientes,Direct-to-home (DTH),11529
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Baja California,Direct-to-home (DTH),79403
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Baja California Sur,Direct-to-home (DTH),20290
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Campeche,Direct-to-home (DTH),6629
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Coahuila de Zaragoza,Direct-to-home (DTH),37758
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Colima,Direct-to-home (DTH),10149
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Chiapas,Direct-to-home (DTH),18052
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Chihuahua,Direct-to-home (DTH),60753
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Ciudad de Mexico,Direct-to-home (DTH),153913
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Durango,Direct-to-home (DTH),14978
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Guanajuato,Direct-to-home (DTH),60128
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Guerrero,Direct-to-home (DTH),29458
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Hidalgo,Direct-to-home (DTH),37304
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Jalisco,Direct-to-home (DTH),95236
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Mexico.,Direct-to-home (DTH),219174
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Michoacan de Ocampo,Direct-to-home (DTH),44810
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Morelos,Direct-to-home (DTH),31609
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Nayarit,Direct-to-home (DTH),14620
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Nuevo Leon,Direct-to-home (DTH),80964
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Oaxaca,Direct-to-home (DTH),29643
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Puebla,Direct-to-home (DTH),60359
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Queretaro,Direct-to-home (DTH),33027
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Quintana Roo,Direct-to-home (DTH),28652
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,San Luis Potosi,Direct-to-home (DTH),40661
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Sinaloa,Direct-to-home (DTH),20061
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Sonora,Direct-to-home (DTH),29752
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Tabasco,Direct-to-home (DTH),20683
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Tamaulipas,Direct-to-home (DTH),56957
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Tlaxcala,Direct-to-home (DTH),14700
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Veracruz de Ignacio de la Llave,Direct-to-home (DTH),76999
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Yucatan,Direct-to-home (DTH),31049
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Zacatecas,Direct-to-home (DTH),7868
100747,2021,12,44545,G002,DISH-MVS,"COMERCIALIZADORA DE FRECUENCIAS SATELITALES, S. DE R.L. DE C.V.",C014,DISH,Sin información de Entidad,Direct-to-home (DTH),36
100759,2021,12,44545,C374,MAXICABLE DE MEXICO,"MAXICABLE DE MEXICO, S.A. DE C.V.",C037,MAXICABLE DE MEXICO,Sin información de Entidad,Sin información de tecnología,2809
100767,2021,12,44545,G008,MEGACABLE-MCM,"TELECABLE DE COENEO, S.A. DE C.V.",C037,MEGACABLE,Sin información de Entidad,Sin información de tecnología,3302
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Aguascalientes,Direct-to-home (DTH),72194
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Baja California,Direct-to-home (DTH),201537
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Baja California Sur,Direct-to-home (DTH),95875
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Campeche,Direct-to-home (DTH),67981
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Coahuila de Zaragoza,Direct-to-home (DTH),184103
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Colima,Direct-to-home (DTH),55013
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Chiapas,Direct-to-home (DTH),355075
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Chihuahua,Direct-to-home (DTH),210768
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Ciudad de Mexico,Direct-to-home (DTH),464378
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Durango,Direct-to-home (DTH),213735
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Guanajuato,Direct-to-home (DTH),371311
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Guerrero,Direct-to-home (DTH),358506
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Hidalgo,Direct-to-home (DTH),301970
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Jalisco,Direct-to-home (DTH),546981
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Mexico.,Direct-to-home (DTH),897904
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Michoacan de Ocampo,Direct-to-home (DTH),320956
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Morelos,Direct-to-home (DTH),124354
100770,2021,12,44545,G004,GRUPO TELEVISA,"CORPORACION DE RADIO Y TELEVISION DEL NORTE DE MEXICO, S. DE R.L. DE C.V.",C050,SKY,Nayarit,Direct-to-home (DTH),134095
